run_id,date,round,baseline_ref,code_ref,config_delta,n_trades,n_long,n_short,win_rate,profit_factor,avg_r,expectancy,max_dd_pct,trades_per_day,total_pnl,same_bar_stop_rate,exit_mix,n_qualified,n_dip_armed,n_path_b_trades,n_trigger_coincidences,verdict,notes
m7-baseline,2026-07-03,0,,fd533fa,{},3,3,0,0.333,4.63,-0.28,38.94,-0.0002,0.00003,116.82,0.667,"{""hard_stop"":2,""profit_take"":1}",346,0,0,15,INFO,"M7 baseline: 130 symbols / 5yr. 2 of 3 trades stopped out same-bar; all 3 entered via trigger bypass. Funnel cols from the Phase-0 long-only default-config re-run (d2e6879, reproduced the exact same 3 trades): 346 long qualifications -> 15 trigger coincidences -> 5 killed by bias 2-bar hold -> 10 bypasses -> 7 killed by confirm-trigger quality -> 3 filled. dip_armed 0 (Path B measured dead). M7's shorts-enabled study runs saw 747 qualifications across both books."
r23-w12-t1-s1,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":12,""rrs_m5_threshold_long"":1.0,""stop_atr_mult"":1.0,""shorts_enabled"":true}",3,3,0,0.333,4.63,-0.28,38.94,-0.000243,0.002396,116.82,0.667,"{""hard_stop"":2,""profit_take"":1}",346,0,0,15,INFO,w12 grid cell: identical 3 LONG trades at every threshold (extra bypasses all killed by confirm-trigger quality: 7 of 10); stop>=1.5 converts 1 same-bar stop-out into a profit-take
r23-w12-t1-s15,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":12,""rrs_m5_threshold_long"":1.0,""stop_atr_mult"":1.5,""shorts_enabled"":true}",3,3,0,0.667,7.62,1.27,54.09,-0.000245,0.002396,162.28,0.0,"{""hard_stop"":1,""profit_take"":2}",346,0,0,15,INFO,w12 grid cell: identical 3 LONG trades at every threshold (extra bypasses all killed by confirm-trigger quality: 7 of 10); stop>=1.5 converts 1 same-bar stop-out into a profit-take
r23-w12-t1-s2,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":12,""rrs_m5_threshold_long"":1.0,""stop_atr_mult"":2.0,""shorts_enabled"":true}",3,3,0,0.667,7.62,0.43,54.09,-0.000245,0.002396,162.28,0.0,"{""hard_stop"":1,""profit_take"":2}",346,0,0,15,INFO,w12 grid cell: identical 3 LONG trades at every threshold (extra bypasses all killed by confirm-trigger quality: 7 of 10); stop>=1.5 converts 1 same-bar stop-out into a profit-take
r23-w12-t05-s1,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":12,""rrs_m5_threshold_long"":0.5,""stop_atr_mult"":1.0,""shorts_enabled"":true}",3,3,0,0.333,4.63,-0.28,38.94,-0.000243,0.002396,116.82,0.667,"{""hard_stop"":2,""profit_take"":1}",493,2,0,22,INFO,w12 grid cell: identical 3 LONG trades at every threshold (extra bypasses all killed by confirm-trigger quality: 11 of 14); stop>=1.5 converts 1 same-bar stop-out into a profit-take
r23-w12-t05-s15,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":12,""rrs_m5_threshold_long"":0.5,""stop_atr_mult"":1.5,""shorts_enabled"":true}",3,3,0,0.667,7.62,1.27,54.09,-0.000245,0.002396,162.28,0.0,"{""hard_stop"":1,""profit_take"":2}",493,2,0,22,INFO,w12 grid cell: identical 3 LONG trades at every threshold (extra bypasses all killed by confirm-trigger quality: 11 of 14); stop>=1.5 converts 1 same-bar stop-out into a profit-take
r23-w12-t05-s2,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":12,""rrs_m5_threshold_long"":0.5,""stop_atr_mult"":2.0,""shorts_enabled"":true}",3,3,0,0.667,7.62,0.43,54.09,-0.000245,0.002396,162.28,0.0,"{""hard_stop"":1,""profit_take"":2}",493,2,0,22,INFO,w12 grid cell: identical 3 LONG trades at every threshold (extra bypasses all killed by confirm-trigger quality: 11 of 14); stop>=1.5 converts 1 same-bar stop-out into a profit-take
r23-w12-t0-s1,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":12,""rrs_m5_threshold_long"":0.0,""stop_atr_mult"":1.0,""shorts_enabled"":true}",3,3,0,0.333,4.63,-0.28,38.94,-0.000243,0.002396,116.82,0.667,"{""hard_stop"":2,""profit_take"":1}",767,4,0,58,INFO,w12 grid cell: identical 3 LONG trades at every threshold (extra bypasses all killed by confirm-trigger quality: 42 of 48); stop>=1.5 converts 1 same-bar stop-out into a profit-take
r23-w12-t0-s15,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":12,""rrs_m5_threshold_long"":0.0,""stop_atr_mult"":1.5,""shorts_enabled"":true}",3,3,0,0.667,7.62,1.27,54.09,-0.000245,0.002396,162.28,0.0,"{""hard_stop"":1,""profit_take"":2}",767,4,0,58,INFO,w12 grid cell: identical 3 LONG trades at every threshold (extra bypasses all killed by confirm-trigger quality: 42 of 48); stop>=1.5 converts 1 same-bar stop-out into a profit-take
r23-w12-t0-s2,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":12,""rrs_m5_threshold_long"":0.0,""stop_atr_mult"":2.0,""shorts_enabled"":true}",3,3,0,0.667,7.62,0.43,54.09,-0.000245,0.002396,162.28,0.0,"{""hard_stop"":1,""profit_take"":2}",767,4,0,58,INFO,w12 grid cell: identical 3 LONG trades at every threshold (extra bypasses all killed by confirm-trigger quality: 42 of 48); stop>=1.5 converts 1 same-bar stop-out into a profit-take
